page_count,file_size_kb,word_count,ocr_confidence,upload_hour,category,priority
1,256,94,0.907,18,form,medium
1,237,20,0.99,20,id_card,low
2,560,231,0.794,20,form,medium
4,684,463,0.915,11,invoice,low
1,319,208,0.82,18,invoice,low
1,280,143,0.83,4,form,medium
1,170,16,0.815,13,id_card,low
1,495,28,0.846,20,receipt,low
1,241,103,0.727,7,receipt,low
1,230,23,0.831,3,id_card,low
1,151,23,0.685,3,receipt,medium
1,367,17,0.808,11,generic_photo,low
1,419,93,0.741,13,receipt,low
1,445,269,0.99,20,form,medium
1,429,67,0.688,12,prescription,high
1,450,164,0.744,0,invoice,low
3,1479,158,0.662,10,invoice,medium
1,312,26,0.755,2,id_card,low
3,1140,410,0.929,8,invoice,low
2,394,112,0.879,22,form,medium
1,248,4,0.661,2,generic_photo,medium
3,840,250,0.927,0,invoice,low
1,432,28,0.536,9,prescription,high
1,212,258,0.949,6,form,medium
4,1484,245,0.886,14,invoice,low
1,185,38,0.727,12,id_card,low
1,235,28,0.885,20,id_card,low
1,193,11,0.958,19,generic_photo,low
1,277,10,0.766,19,generic_photo,low
1,347,17,0.811,7,prescription,medium
1,467,18,0.803,11,id_card,low
1,309,31,0.815,23,id_card,low
4,1868,262,0.848,16,invoice,low
1,230,70,0.649,16,prescription,high
1,369,21,0.827,1,receipt,low
1,367,58,0.886,5,prescription,medium
1,333,282,0.945,23,form,medium
1,389,25,0.741,15,prescription,high
1,336,273,0.99,18,invoice,low
1,296,86,0.955,19,receipt,low
1,277,240,0.99,10,form,medium
1,300,296,0.858,9,form,medium
1,401,16,0.645,0,id_card,medium
1,186,11,0.864,22,generic_photo,low
1,296,248,0.913,23,invoice,low
1,265,0,0.886,10,generic_photo,low
4,1012,569,0.885,17,invoice,low
1,343,17,0.764,21,generic_photo,low
1,318,25,0.69,23,id_card,medium
1,277,26,0.847,0,id_card,low
1,171,194,0.955,1,form,medium
1,246,44,0.821,14,prescription,medium
1,453,466,0.721,13,invoice,low
1,248,20,0.908,8,prescription,medium
1,498,38,0.907,2,prescription,medium
1,340,195,0.841,20,form,medium
4,1108,472,0.689,21,invoice,medium
1,323,86,0.655,23,receipt,medium
1,491,51,0.693,9,receipt,medium
1,422,109,0.76,7,receipt,low
1,395,448,0.685,22,invoice,medium
1,455,118,0.737,23,receipt,low
1,462,74,0.708,7,prescription,high
1,291,15,0.909,11,generic_photo,low
1,292,32,0.757,22,id_card,low
1,302,18,0.822,21,generic_photo,low
1,491,77,0.893,4,receipt,low
4,836,202,0.624,11,invoice,medium
1,345,182,0.803,14,form,medium
1,457,32,0.903,15,id_card,low
1,296,44,0.771,22,prescription,medium
1,266,109,0.952,22,receipt,low
4,828,278,0.836,21,invoice,low
4,1684,386,0.95,6,invoice,low
1,498,36,0.668,15,prescription,high
1,235,14,0.792,13,id_card,low
1,243,126,0.903,11,form,medium
1,490,109,0.943,6,receipt,low
1,172,180,0.811,9,form,medium
